"corpus","gaeilge2"
"subcorpus","-"
"gualainn",1930,56.17280
"éiligh",1924,55.99817
"béaloideas",1922,55.93996
"uirlis",1922,55.93996
"iascaireacht",1920,55.88175
"codladh",1920,55.88175
"saothraigh",1919,55.85264
"monarcha",1913,55.67801
"staighre",1911,55.61980
"Giolla",1911,55.61980
"fiontar",1910,55.59070
"maoinigh",1904,55.41607
"fuaim",1900,55.29965
"teicneolaíocht",1900,55.29965
"machnamh",1899,55.27054
"aicme",1897,55.21233
"síol",1896,55.18323
"amharclann",1892,55.06681
"cúinne",1892,55.06681
"iarann",1881,54.74665
"seanchas",1880,54.71754
"socraigh",1880,54.71754
"straitéis",1878,54.65933
"Déardaoin",1875,54.57202
"cistin",1875,54.57202
"tuarastal",1865,54.28097
"iriseoir",1864,54.25186
"sochaí",1864,54.25186
"cúnamh",1864,54.25186
"gealach",1861,54.16455
"olltoghchán",1859,54.10634
"abar",1859,54.10634
"turasóireacht",1857,54.04813
"leanúint",1856,54.01902
"asal",1856,54.01902
"inne",1855,53.98992
"gearr",1854,53.96081
"báire",1852,53.90260
"coimhlint",1850,53.84439
"Gearóid",1848,53.78618
"dearbhú",1846,53.72797
"ucht",1843,53.64066
"pá",1843,53.64066
"trioblóid",1842,53.61155
"oibrigh",1841,53.58245
"óglach",1840,53.55334
"measúnaigh",1836,53.43692
"tréith",1833,53.34961
"earrach",1833,53.34961
"todhchaí",1831,53.29140
"ceird",1828,53.20408
"achomharc",1824,53.08766
"gairm",1822,53.02945
"Seosamh",1820,52.97124
"Euro",1819,52.94213
"riarachán",1815,52.82571
"scrúdaigh",1815,52.82571
"binn",1813,52.76750
"slándáil",1812,52.73840
"Caitliceach",1808,52.62198
"briathar",1807,52.59287
"cúiteamh",1801,52.41824
"tairbhe",1801,52.41824
"geata",1800,52.38914
"ie",1798,52.33093
"bunús",1797,52.30182
"doiciméad",1796,52.27272
"eagraigh",1796,52.27272
"gar",1795,52.24361
"íocaíocht",1793,52.18540
"damhsa",1790,52.09809
"talmhaíocht",1780,51.80704
"Albain",1779,51.77793
"bris",1778,51.74883
"léitheoireacht",1775,51.66151
"namhaid",1775,51.66151
"ceacht",1770,51.51599
"Ráth",1769,51.48688
"maide",1769,51.48688
"carachtar",1765,51.37046
"tithíocht",1764,51.34136
"oirthear",1760,51.22494
"cabhraigh",1760,51.22494
"euro",1758,51.16673
"stór",1757,51.13762
"bunreacht",1757,51.13762
"Conaire",1757,51.13762
"coill",1755,51.07941
"saoránach",1753,51.02120
"iomarca",1751,50.96299
"glaoigh",1747,50.84657
"claí",1746,50.81746
"Máirt",1745,50.78836
"Seáin",1744,50.75925
"táirge",1744,50.75925
"bruach",1744,50.75925
"cas",1739,50.61373
"halban",1739,50.61373
"éagsúlacht",1736,50.52641
"stiúir",1734,50.46820
"Néill",1733,50.43910
"Shinn",1730,50.35178
"aríst",1730,50.35178
"uaigh",1729,50.32268
"feidhmeannach",1728,50.29357
"greann",1727,50.26447
"rath",1726,50.23536
"méar",1725,50.20626
"aill",1722,50.11894
"eagrán",1720,50.06073
"Nóra",1718,50.00252
"faic",1712,49.82789
"suaimhneas",1704,49.59505
"pingin",1702,49.53684
"aos",1701,49.50774
"láithreán",1700,49.47863
"gairdín",1697,49.39132
"freagracht",1695,49.33311
"Chláir",1690,49.18758
"Sín",1690,49.18758
"cosaint",1689,49.15847
"cruinne",1689,49.15847
"acmhainn",1685,49.04205
"sneachta",1684,49.01295
"dabht",1683,48.98384
"Seoirse",1682,48.95474
"braon",1681,48.92563
"ceal",1681,48.92563
"uafás",1680,48.89653
"sean",1679,48.86742
"fáinne",1679,48.86742
"gléas",1678,48.83832
"figiúr",1677,48.80921
"reifreann",1674,48.72190
"dhom",1674,48.72190
"nua",1672,48.66369
"mballstát",1670,48.60548
"bail",1665,48.45995
"Cnoc",1665,48.45995
"feabhsaigh",1658,48.25622
"tacaigh",1658,48.25622
"tábla",1657,48.22711
"urlabhra",1651,48.05248
"lón",1651,48.05248
"léim",1651,48.05248
"Eibhlín",1648,47.96517
"beartaigh",1646,47.90696
"folach",1643,47.81964
"bocht",1640,47.73233
"sábháilteacht",1637,47.64501
"lean",1631,47.47038
"banna",1631,47.47038
"cairt",1629,47.41217
"aonach",1628,47.38307
"reilig",1627,47.35396
"ualach",1627,47.35396
"cluas",1626,47.32485
"sonraigh",1626,47.32485
"áitreabh",1625,47.29575
"binse",1624,47.26664
"leataobh",1622,47.20843
"anáil",1621,47.17933
"más",1621,47.17933
"art",1617,47.06291
"neamh",1612,46.91738
"Eoghan",1611,46.88828
"ordaigh",1608,46.80096
"colainn",1607,46.77186
"contúirt",1606,46.74275
"maraigh",1605,46.71365
"nádúr",1603,46.65544
"trom",1600,46.56812
"plé",1599,46.53902
"déileáil",1595,46.42260
"cosán",1594,46.39349
"bolg",1587,46.18976
"ardán",1587,46.18976
"Donncha",1584,46.10244
"David",1584,46.10244
"cuimhnigh",1583,46.07334
"Céadaoin",1580,45.98602
"Ciarán",1580,45.98602
"gréasán",1579,45.95692
"Buí",1576,45.86960
"séasúr",1576,45.86960
"mothúchán",1576,45.86960
"grianghraf",1575,45.84050
"dromchla",1575,45.84050
"néal",1574,45.81139
"fearg",1573,45.78229
"Eoghain",1569,45.66587
"cúlra",1568,45.63676
"aisce",1568,45.63676
"Leitir",1567,45.60766
"feadh",1566,45.57855
"áras",1566,45.57855
"ceo",1564,45.52034
"foráil",1563,45.49124
"Macha",1560,45.40392
"cnuasach",1560,45.40392
"ríomhaire",1559,45.37481
"áirigh",1559,45.37481
"meánscoil",1559,45.37481
"clú",1559,45.37481
"Choimisiún",1559,45.37481
"tinneas",1556,45.28750
"peann",1555,45.25839
"Róimh",1552,45.17108
"sceideal",1551,45.14197
"Gaeilgeoir",1546,44.99645
"teastas",1545,44.96734
"Pat",1542,44.88003
"uaigneas",1540,44.82182
"stop",1539,44.79271
"clúdach",1539,44.79271
"dinnéar",1536,44.70540
"Afraic",1532,44.58898
"coinbhinsiún",1532,44.58898
"George",1531,44.55987
"aithris",1524,44.35614
"úinéir",1521,44.26882
"saibhreas",1520,44.23972
"aice",1517,44.15240
"teampall",1513,44.03598
"Máirín",1513,44.03598
"seoladh",1512,44.00688
"míchumas",1512,44.00688
"taithigh",1512,44.00688
"gorta",1510,43.94867
"duilleog",1509,43.91956
"custaiméir",1507,43.86135
"cóta",1507,43.86135
"stad",1506,43.83225
"cluain",1498,43.59941
"leacht",1498,43.59941
"roghnaigh",1498,43.59941
"Eilís",1496,43.54119
"tart",1492,43.42477
"admháil",1490,43.36656
"culaith",1487,43.27925
"manach",1485,43.22104
"cleachtas",1485,43.22104
"tráchtáil",1483,43.16283
"scéalaí",1483,43.16283
"Micil",1483,43.16283
"eicínt",1482,43.13372
"géag",1481,43.10462
"taisce",1479,43.04641
"cuan",1476,42.95909
"argóint",1475,42.92999
"spraoi",1475,42.92999
"leictreachas",1474,42.90088
"teann",1472,42.84267
"leis",1469,42.75536
"éad",1469,42.75536
"cáipéis",1469,42.75536
"ardaigh",1466,42.66804
"cách",1466,42.66804
"athuair",1461,42.52252
"James",1460,42.49341
"jab",1457,42.40610
"péire",1456,42.37699
"cian",1456,42.37699
"och",1456,42.37699
"lóistín",1455,42.34789
"taitneamh",1453,42.28968
"teachtaireacht",1453,42.28968
"triall",1452,42.26057
"foclóir",1449,42.17326
"míniú",1449,42.17326
"rince",1444,42.02773
"clé",1444,42.02773
"breac",1442,41.96952
"pápa",1441,41.94042
"cleachtadh",1433,41.70758
"pota",1432,41.67847
"cearnóg",1430,41.62026
"tuar",1430,41.62026
"críochnaigh",1429,41.59115
"barra",1429,41.59115
"léarscáil",1429,41.59115
"páirtíocht",1427,41.53294
"bailiúchán",1425,41.47473
"Sarah",1424,41.44563
"cearc",1424,41.44563
"sráidbhaile",1421,41.35831
"Murchú",1420,41.32921
"leathnaigh",1418,41.27100
"or",1417,41.24189
"fiach",1417,41.24189
"Iodáil",1415,41.18368
"inneall",1412,41.09637
"banríon",1411,41.06726
"sprioc",1410,41.03816
"sáraigh",1404,40.86353
"gás",1401,40.77621
"fríd",1399,40.71800
"arb",1398,40.68890
"eastát",1396,40.63069
"beannacht",1392,40.51427
"saineolaí",1392,40.51427
"árachas",1391,40.48516
"liathróid",1390,40.45606
"aoi",1388,40.39785
"práta",1381,40.19411
"saoirse",1381,40.19411
"captaen",1380,40.16501
"íochtar",1376,40.04859
"ceardchumann",1376,40.04859
"múin",1375,40.01948
"éide",1375,40.01948
"brat",1374,39.99038
"samhlaíocht",1374,39.99038
"tonn",1373,39.96127
"amhránaí",1372,39.93217
"fheadar",1371,39.90306
"caomhnaigh",1369,39.84485
"Tiobraid",1367,39.78664
"ardú",1367,39.78664
"Bertie",1365,39.72843
"tiománaí",1365,39.72843
"meáchan",1365,39.72843
"dorchadas",1359,39.55380
"seachain",1358,39.52469
"cleas",1355,39.43738
"gabháil",1355,39.43738
"garraí",1349,39.26275
"portach",1348,39.23364
"iascaire",1347,39.20454
"fógair",1345,39.14633
"freastal",1344,39.11722
"Caitríona",1344,39.11722
"cuntais",1344,39.11722
"meabhair",1342,39.05901
"Times",1341,39.02991
"meascán",1341,39.02991
"pian",1333,38.79707
"patrún",1333,38.79707
"coiscéim",1331,38.73886
"seó",1331,38.73886
"dlíodóir",1328,38.65154
"luas",1326,38.59333
"Duibhne",1324,38.53512
"cúigear",1323,38.50602
"árasán",1323,38.50602
"paidir",1322,38.47691
"coir",1322,38.47691
"buairt",1321,38.44781
"Suibhne",1317,38.33139
"aisling",1311,38.15676
"miotal",1311,38.15676
"scéalaíocht",1310,38.12765
"peaca",1309,38.09855
"ómós",1307,38.04034
"snáithe",1307,38.04034
"armas",1307,38.04034
"eitleán",1307,38.04034
"fón",1305,37.98213
"idé",1303,37.92392
"buaiteoir",1303,37.92392
"Mumhan",1302,37.89481
"Daingean",1300,37.83660
"creidmheas",1300,37.83660
"Ceilteach",1300,37.83660
"scála",1299,37.80749
"Cáisc",1297,37.74928
"teileafón",1294,37.66197
"fiosrúchán",1294,37.66197
"cruach",1293,37.63286
"nasc",1293,37.63286
"uncail",1290,37.54555
"buiséad",1289,37.51644
"gaineamh",1288,37.48734
"laghdaigh",1287,37.45823
"guthán",1283,37.34181
"brách",1281,37.28360
"ionstraim",1280,37.25450
"Nuala",1279,37.22539
"onóir",1279,37.22539
"Martin",1279,37.22539
"seisiún",1278,37.19629
"tsaol",1275,37.10897
"buile",1275,37.10897
"Gaeil",1274,37.07987
"Proinsias",1270,36.96345
"Choimisiúin",1268,36.90524
"ciorcal",1266,36.84703
"seinn",1265,36.81792
"láithreach",1265,36.81792
"difear",1264,36.78882
"áilleacht",1262,36.73061
"Sasanaigh",1261,36.70150
"coirce",1258,36.61419
"William",1257,36.58508
"Rinn",1256,36.55598
"scamall",1253,36.46866
"fuacht",1252,36.43956
"athbhreithniú",1250,36.38135
"taise",1250,36.38135
"beithíoch",1249,36.35224
"maireachtáil",1247,36.29403
"stoc",1247,36.29403
"díon",1245,36.23582
"sacar",1243,36.17761
"dealramh",1241,36.11940
"colún",1239,36.06119
"mam",1239,36.06119
"coicís",1236,35.97387
"Cuív",1235,35.94477
"Cadhain",1234,35.91566
"troigh",1231,35.82835
"cailleach",1230,35.79924
"sábháil",1229,35.77014
"maolaigh",1227,35.71193
"atmaisféar",1226,35.68282
"eagar",1226,35.68282
"aistear",1224,35.62461
"príosúnach",1224,35.62461
"gnólacht",1222,35.56640
"teocht",1221,35.53730
"ceapachán",1221,35.53730
"damhsaigh",1220,35.50819
"mianach",1220,35.50819
"cláraigh",1219,35.47909
"fána",1219,35.47909
"stán",1218,35.44998
"náisiúnach",1213,35.30446
"srian",1211,35.24625
"Harry",1211,35.24625
"ús",1209,35.18804
"Jim",1208,35.15893
"ciúnas",1208,35.15893
"insint",1205,35.07162
"fuath",1205,35.07162
"painéal",1204,35.04251
"Angela",1203,35.01341
"dual",1203,35.01341
"Páras",1200,34.92609
"com",1199,34.89699
"díomá",1198,34.86788
"Laighean",1197,34.83878
"eolaí",1196,34.80967
"coincheap",1195,34.78057
"ceardlann",1195,34.78057
"imirce",1195,34.78057
"not",1192,34.69325
"ticéad",1192,34.69325
"agóid",1191,34.66415
"Deirdre",1188,34.57683
"samhail",1188,34.57683
"ceiliúir",1187,34.54773
"gaisce",1187,34.54773
"seandálaíocht",1186,34.51862
"cupán",1185,34.48952
"buíon",1185,34.48952
"Láirge",1183,34.43131
"bog",1183,34.43131
"gleic",1182,34.40220
"fealsúnacht",1182,34.40220
"béas",1180,34.34399
"leac",1179,34.31489
"druid",1178,34.28578
"sásaigh",1176,34.22757
"maígh",1174,34.16936
"maitheas",1174,34.16936
"cigire",1173,34.14026
"raic",1171,34.08204
"eite",1171,34.08204
"amhránaíocht",1167,33.96562
"Paul",1166,33.93652
"Nice",1165,33.90741
"tost",1164,33.87831
"pionós",1163,33.84920
"bronn",1160,33.76189
"éacht",1160,33.76189
"Éamon",1159,33.73278
"diúltaigh",1158,33.70368
"scian",1157,33.67457
"éireannacha",1156,33.64547
"Cainneach",1156,33.64547
"Astráil",1154,33.58726
"Maidhc",1154,33.58726
"trealamh",1153,33.55815
"pláta",1152,33.52905
"cú",1150,33.47084
"ceadaigh",1150,33.47084
"Siobhán",1149,33.44173
"nigh",1149,33.44173
"Súilleabháin",1149,33.44173
"sult",1149,33.44173
"ithir",1149,33.44173
"tairg",1148,33.41263
"Páidín",1147,33.38352
"anailís",1144,33.29621
"Gráinne",1143,33.26710
"airí",1143,33.26710
"bileog",1141,33.20889
"iarratasóir",1139,33.15068
"tiomáin",1137,33.09247
"canúint",1137,33.09247
"suirbhé",1136,33.06337
"áth",1135,33.03426
"iomad",1133,32.97605
"lánúin",1133,32.97605
"riocht",1132,32.94695
"aerfort",1131,32.91784
"tionól",1131,32.91784
"Mara",1130,32.88874
"bán",1129,32.85963
"call",1128,32.83053
"Peter",1128,32.83053
"iomáin",1127,32.80142
"from",1126,32.77232
"machnaigh",1125,32.74321
"Rúis",1123,32.68500
"Co",1119,32.56858
"scáil",1119,32.56858
"comh",1118,32.53948
"cleacht",1115,32.45216
"eireaball",1115,32.45216
"Tony",1115,32.45216
"clós",1113,32.39395
"gnóthaigh",1113,32.39395
"feithicil",1113,32.39395
"cór",1110,32.30664
"bagairt",1110,32.30664
"fiosraigh",1109,32.27753
"túisce",1109,32.27753
"tobac",1107,32.21932
"Life",1107,32.21932
"teoiric",1105,32.16111
"dramhaíl",1103,32.10290
"úll",1101,32.04469
"comhrac",1099,31.98648
"samhlaigh",1099,31.98648
"éag",1097,31.92827
"Breathnach",1096,31.89916
"feith",1095,31.87006
"tomhas",1095,31.87006
"bomaite",1095,31.87006
"Róisín",1094,31.84095
"strainséir",1093,31.81185
"cóilín",1093,31.81185
"titim",1092,31.78274
"gal",1091,31.75364
"príomhoide",1089,31.69543
"teist",1088,31.66632
"muineál",1087,31.63722
"ál",1086,31.60811
"gníomhaireacht",1086,31.60811
"bráid",1084,31.54990
"léirmheas",1083,31.52080
"léine",1083,31.52080
"scata",1083,31.52080
"cum",1082,31.49169
"his",1082,31.49169
"mil",1082,31.49169
"Giúdach",1077,31.34617
"Murphy",1076,31.31706
"giota",1076,31.31706
"réabhlóid",1075,31.28796
"bruscar",1074,31.25885
"sochraid",1074,31.25885
"scoilt",1073,31.22975
"bialann",1073,31.22975
"clúdaigh",1073,31.22975
"flaitheas",1070,31.14243
"Lena",1069,31.11333
"amadán",1068,31.08422
"toirt",1068,31.08422
"Valera",1066,31.02601
"tríú",1066,31.02601
"timpiste",1065,30.99691
"foréigean",1064,30.96780
"Niall",1064,30.96780
"stailc",1063,30.93870
"láidir",1063,30.93870
"imshaol",1061,30.88049
"cuil",1060,30.85138
"bronntanas",1060,30.85138
"cupla",1060,30.85138
"scair",1059,30.82228
"tarraingt",1054,30.67675
"gearrscéal",1054,30.67675
"bratach",1053,30.64765
"Ciara",1053,30.64765
"toiligh",1053,30.64765
"tagair",1053,30.64765
"léacht",1052,30.61854
"sciathán",1052,30.61854
"easnamh",1052,30.61854
"sásamh",1051,30.58944
"athbhreithnigh",1050,30.56033
"bóithrín",1049,30.53123
"tubaiste",1047,30.47302
"roth",1045,30.41481
"seisear",1042,30.32749
"pós",1042,30.32749
"hata",1042,30.32749
"ga",1041,30.29838
"maighdean",1040,30.26928
"croch",1040,30.26928
"oibrí",1040,30.26928
"cogar",1039,30.24017
"ciontach",1038,30.21107
"cinniúint",1038,30.21107
"clochán",1035,30.12375
"campa",1035,30.12375
"scaoil",1030,29.97823
"Árainn",1024,29.80360
"bothán",1024,29.80360
"tairiscint",1023,29.77449
"ósta",1022,29.74539
"bradán",1021,29.71628
"foghlaimeoir",1019,29.65807
"póg",1018,29.62897
"oscailt",1017,29.59986
"Briain",1017,29.59986
"anuraidh",1016,29.57076
"srón",1015,29.54165
"caipín",1015,29.54165
"ceathrú",1015,29.54165
"dáilcheantar",1014,29.51255
"togha",1013,29.48344
"déagóir",1011,29.42523
"Garman",1011,29.42523
"Cas",1010,29.39613
"Úna",1010,29.39613
"dubh",1008,29.33792
"soitheach",1006,29.27971
"véarsa",1006,29.27971
"Robert",1006,29.27971
"fál",1001,29.13418
"feamainn",1001,29.13418
"eochair",1001,29.13418
"iontaobhas",1001,29.13418
"Aonghus",1001,29.13418
"rothar",998,29.04687
"seanad",997,29.01776
"bos",997,29.01776
"scor",996,28.98866
"turasóir",995,28.95955
"laghdú",994,28.93045
"diosca",994,28.93045
"daonlathas",993,28.90134
"cothabháil",993,28.90134
"lios",992,28.87224
"tabhairt",992,28.87224
"Mír",992,28.87224
"fís",992,28.87224
"cléir",991,28.84313
"réalta",991,28.84313
"Frank",991,28.84313
"ainmnigh",990,28.81403
"Pádraic",989,28.78492
"uillinn",988,28.75582
"lonnaigh",987,28.72671
"glasra",987,28.72671
"soicind",985,28.66850
"casadh",985,28.66850
"pioc",985,28.66850
"nead",984,28.63940
"gas",982,28.58119
"téip",980,28.52298
"Tuairisc",980,28.52298
"tráigh",980,28.52298
"Art",980,28.52298
"lann",980,28.52298
"maithe",977,28.43566
"Ahern",977,28.43566
"faobhar",976,28.40655
"riar",975,28.37745
"Ballstát",973,28.31924
"Protastúnach",971,28.26103
"stoirm",970,28.23192
"bríste",970,28.23192
"Nua-Eabhrac",970,28.23192
"ógánach",970,28.23192
"déanmhas",969,28.20282
"gníomhaire",969,28.20282
"sáirsint",969,28.20282
"naomh",969,28.20282
"seirbhíseach",969,28.20282
"coinneal",969,28.20282
"míbhuntáiste",968,28.17371
"lámhscríbhinn",965,28.08640
"gnéas",964,28.05729
"díoltas",964,28.05729
"dialann",963,28.02819
"Samhna",957,27.85356
"sáile",957,27.85356
"pionta",956,27.82445
"eisigh",955,27.79535
"bá",954,27.76624
"achrann",953,27.73714
"trócaire",953,27.73714
"min",952,27.70803
"méadar",952,27.70803
"Maith",952,27.70803
"pas",951,27.67893
"geit",951,27.67893
"Eorpacha",948,27.59161
"tástáil",946,27.53340
"íseal",945,27.50430
"aeir",945,27.50430
"Mack",944,27.47519
"feirmeoireacht",944,27.47519
"scrios",944,27.47519
"léaráid",943,27.44609
"aireacht",943,27.44609
"folúntas",943,27.44609
"ríomhaireacht",942,27.41698
"Caoin",941,27.38788
"sruthán",941,27.38788
"crith",940,27.35877
"scaitheamh",939,27.32967
"brionglóid",939,27.32967
"dúlra",939,27.32967
"aighneas",938,27.30056
"damáiste",938,27.30056
"sáil",938,27.30056
"finné",936,27.24235
"tiubh",936,27.24235
"tomhais",935,27.21325
"foilseachán",935,27.21325
"briseadh",934,27.18414
"Anna",934,27.18414
"urchar",933,27.15504
"athbheochan",933,27.15504
"botún",932,27.12593
"allas",932,27.12593
"Barra",932,27.12593
"rann",931,27.09683
"albam",928,27.00951
"Oisín",927,26.98041
"iascach",927,26.98041
"píopa",927,26.98041
"milleán",927,26.98041
"iúr",926,26.95130
"Nóirín",924,26.89309
"lárionad",924,26.89309
"gual",923,26.86399
"feiscint",922,26.83488
"dearbhaigh",921,26.80578
"togra",921,26.80578
"údaraigh",920,26.77667
"toitín",919,26.74757
"uan",917,26.68936
"fathach",916,26.66025
"Treasa",915,26.63115
"dílseacht",915,26.63115
"bata",914,26.60204
"dearg",914,26.60204
"deacair",914,26.60204
"éadrom",913,26.57294
"ngan",911,26.51472
"Brídín",910,26.48562
"ceiliúradh",910,26.48562
"rialaigh",910,26.48562
"gabhar",910,26.48562
"deamhan",909,26.45651
"aingeal",909,26.45651
"lag",909,26.45651
"coróin",908,26.42741
"gorm",906,26.36920
"óráid",906,26.36920
"id",904,26.31099
"bricfeasta",904,26.31099
"tasc",903,26.28188
"cúinse",903,26.28188
"grád",901,26.22367
"Conghaile",901,26.22367
"Críostaí",900,26.19457
"Sinéad",898,26.13636
"idhlig",898,26.13636
"oibleagáid",898,26.13636
"torann",897,26.10725
"idirdhealú",897,26.10725
"márach",896,26.07815
"Lochlainn",896,26.07815
"neach",893,25.99083
"comhoibrigh",892,25.96173
"seáinín",892,25.96173
"séan",891,25.93262
"cró",891,25.93262
"tionscain",891,25.93262
"íocaíochtaí",888,25.84531
"lasair",888,25.84531
"baintreach",888,25.84531
"banaltra",888,25.84531
"iontráil",888,25.84531
"speiceas",887,25.81620
"rochtain",886,25.78710
"sí",886,25.78710
"deifir",886,25.78710
"dlínse",884,25.72889
"Conchúr",884,25.72889
"moille",883,25.69978
"Uíbh",881,25.64157
"ciarraí",880,25.61247
"glaoch",879,25.58336
"all",879,25.58336
"neamhspleáchas",878,25.55426
"Niamh",877,25.52515
"maistín",877,25.52515
"scáthán",877,25.52515
"tarbh",876,25.49605
"faill",876,25.49605
"gramadach",876,25.49605
"giolla",875,25.46694
"ailtireacht",874,25.43784
"plúr",874,25.43784
"túr",874,25.43784
"meabhraigh",874,25.43784
"muileann",874,25.43784
"méara",873,25.40873
"coiteann",873,25.40873
"múnla",873,25.40873
"fearann",872,25.37963
"leithreas",871,25.35052
"créatúr",871,25.35052
"fearas",871,25.35052
"Thomas",870,25.32142
"brabús",869,25.29231
"sliogán",868,25.26321
"buama",868,25.26321
"fíric",868,25.26321
"móid",867,25.23410
"Sorcha",867,25.23410
"dífhostaíocht",865,25.17589
"grán",864,25.14679
"leaid",864,25.14679
"this",863,25.11768
"líníocht",863,25.11768
"Coinnigh",863,25.11768
"aoibhneas",861,25.05947
"Peig",861,25.05947
"laistiar",861,25.05947
"Glas",860,25.03037
"conspóid",860,25.03037
"crios",860,25.03037
"sárú",858,24.97216
